|id |provider             |sport_code|entity |provider_role|source_category|endpoint_name|endpoint_exists|endpoint_tested|endpoint_returns_data|usable_for_league|usable_for_team|usable_for_season|technical_status|data_quality_status|final_verdict|requires_pro|alternative_provider_needed|evidence_note                                                                                                                      |next_step                                                                       |priority_rank|created_at                   |updated_at                   |
|19 |api_darts            |DRT       |players|fallback     |api            |players      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|true        |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=unknown, availability_scope=paid_only |Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|20 |api_cricket          |CK        |players|primary      |api            |players      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|false       |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=basic, availability_scope=limited_free|Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|21 |api_mma              |MMA       |players|fallback     |api            |players      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|true        |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=unknown, availability_scope=paid_only |Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|22 |api_baseball         |BSB       |coaches|primary      |api            |coaches      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|false       |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=basic, availability_scope=limited_free|Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|23 |api_esports          |ESP       |players|fallback     |api            |players      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|true        |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=unknown, availability_scope=paid_only |Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|24 |api_rugby            |RGB       |players|primary      |api            |players      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|false       |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=basic, availability_scope=limited_free|Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|25 |api_baseball         |BSB       |players|primary      |api            |players      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|false       |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=basic, availability_scope=limited_free|Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|26 |api_rugby            |RGB       |coaches|primary      |api            |coaches      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|false       |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=basic, availability_scope=limited_free|Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|27 |api_esports          |ESP       |coaches|fallback     |api            |coaches      |false          |false          |false                |false            |false          |false            |planned         |unknown            |WAIT_PROVIDER|true        |true                       |Seednuto automaticky z ops.provider_entity_coverage. coverage_status=planned, expected_depth=unknown, availability_scope=paid_only |Provést ruční people reality audit endpointu a kvality dat.                     |90           |2026-04-07 08:39:51.473 +0200|2026-04-07 08:39:51.473 +0200|
|2  |api_football         |FB        |coaches|primary      |api            |coachs       |true           |true           |true                 |false            |false          |false            |runtime_tested  |partial            |PARTIAL_ONLY |true        |false                      |Endpoint existuje a vrací data, ale mapování zatím není plně potvrzené.                                                            |Doplnit konkrétní mapování coach -> team/provider identity.                     |11           |2026-04-07 08:32:41.790 +0200|2026-04-07 08:46:56.299 +0200|
