|id |run_id|ticket_index|created_at                   |settled_at|source_system|ticket_size|total_odd|stake|possible_win|probability|is_hit|profit_amount|roi_percent|
|718|100   |8           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |82.0511  |     |            |0.0015     |      |             |           |
|717|100   |7           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |73.547   |     |            |0.0018     |      |             |           |
|716|100   |6           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |71.0035  |     |            |0.0018     |      |             |           |
|715|100   |5           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |70.2252  |     |            |0.0018     |      |             |           |
|714|100   |4           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |63.9183  |     |            |0.0021     |      |             |           |
|713|100   |3           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |63.2177  |     |            |0.0021     |      |             |           |
|712|100   |2           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |57.2935  |     |            |0.0025     |      |             |           |
|711|100   |1           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |56.6656  |     |            |0.0025     |      |             |           |
|710|98    |9           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |132.4117 |     |            |0.0003     |      |             |           |
|709|98    |8           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |91.1694  |     |            |0.0004     |      |             |           |
|708|98    |7           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |86.8961  |     |            |0.0004     |      |             |           |
|707|98    |6           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |86.8362  |     |            |0.0004     |      |             |           |
|706|98    |5           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |77.9075  |     |            |0.0004     |      |             |           |
|705|98    |4           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |59.8306  |     |            |0.0006     |      |             |           |
|704|98    |3           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |59.7894  |     |            |0.0006     |      |             |           |
|703|98    |2           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |51.1273  |     |            |0.0007     |      |             |           |
|702|98    |1           |2026-03-30 21:56:10.115 +0200|          |ticket_studio|2          |51.0921  |     |            |0.0007     |      |             |           |
|701|97    |9           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |9.4848   |     |            |0.0212     |      |             |           |
|700|97    |8           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |8.8464   |     |            |0.0223     |      |             |           |
|699|97    |7           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |9.5472   |     |            |0.0227     |      |             |           |
|698|97    |6           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |8.9046   |     |            |0.0238     |      |             |           |
|697|97    |5           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |8.664    |     |            |0.0239     |      |             |           |
|696|97    |4           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |8.6424   |     |            |0.0253     |      |             |           |
|695|97    |3           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |8.721    |     |            |0.0255     |      |             |           |
|694|97    |2           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |8.0607   |     |            |0.0266     |      |             |           |
|693|97    |1           |2026-03-30 13:05:34.669 +0200|          |ticket_studio|2          |7.8945   |     |            |0.0284     |      |             |           |
|692|96    |9           |2026-03-30 13:04:07.004 +0200|          |ticket_studio|2          |         |     |            |0.0248     |      |             |           |
|691|96    |8           |2026-03-30 13:04:07.004 +0200|          |ticket_studio|2          |         |     |            |0.026      |      |             |           |
|690|96    |7           |2026-03-30 13:04:07.004 +0200|          |ticket_studio|2          |         |     |            |0.0264     |      |             |           |
|689|96    |6           |2026-03-30 13:04:07.004 +0200|          |ticket_studio|2          |         |     |            |0.0277     |      |             |           |
|688|96    |5           |2026-03-30 13:04:07.004 +0200|          |ticket_studio|2          |         |     |            |0.0278     |      |             |           |
