|id    |sport_id|name                                                |country             |ext_source   |ext_league_id|ext_csv_code|theodds_key                      |enabled_theodds|country_id|tier|is_cup|is_international|created_at                   |updated_at                   |
|20,866|1       |Caribbean Cup                                       |World               |api_football |804          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,867|1       |Premier League                                      |Lebanon             |api_football |390          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,869|1       |Second Division                                     |Qatar               |api_football |306          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,870|1       |Stars League                                        |Qatar               |api_football |305          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,872|1       |EFL Trophy                                          |England             |api_football |46           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,873|1       |FA Trophy                                           |England             |api_football |47           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,874|1       |League Cup                                          |England             |api_football |48           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,875|1       |National League                                     |England             |api_football |43           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,878|1       |Eerste Divisie                                      |Suriname            |api_football |568          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,879|1       |Vysshaya Liga                                       |Tajikistan          |api_football |571          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,880|1       |West Bank Premier League                            |Palestine           |api_football |586          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,881|1       |National League                                     |Myanmar             |api_football |588          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,882|1       |Pro League                                          |Trinidad-And-Tobago |api_football |591          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,883|1       |Cup                                                 |Ukraine             |api_football |335          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,884|1       |Druha Liga                                          |Ukraine             |api_football |336          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,887|1       |Pro League                                          |United-Arab-Emirates|api_football |301          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,888|1       |Division 1                                          |United-Arab-Emirates|api_football |303          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,889|1       |League Cup                                          |United-Arab-Emirates|api_football |302          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,890|1       |Segunda Divisi?n                                    |Uruguay             |api_football |269          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,891|1       |Ligue 1                                             |Tunisia             |api_football |202          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,895|1       |T?rkiye Kupas?                                      |Turkey              |api_football |206          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,896|1       |3. Lig - Group 1                                    |Turkey              |api_football |552          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,897|1       |3. Lig - Group 2                                    |Turkey              |api_football |553          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,898|1       |3. Lig - Group 3                                    |Turkey              |api_football |554          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,899|1       |National 1                                          |France              |api_football |63           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,900|1       |Coupe de France                                     |France              |api_football |66           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,901|1       |Coupe de la Ligue                                   |France              |api_football |65           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,902|1       |National 2 - Group A                                |France              |api_football |67           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,903|1       |National 2 - Group B                                |France              |api_football |68           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,904|1       |National 2 - Group C                                |France              |api_football |69           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,905|1       |Asian Cup                                           |World               |api_football |7            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,906|1       |World Cup - Women                                   |World               |api_football |8            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,907|1       |Ligue 1                                             |Algeria             |api_football |186          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,908|1       |Ligue 2                                             |Algeria             |api_football |187          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,909|1       |2nd Division - Group A                              |Albania             |api_football |512          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,910|1       |2nd Division - Group B                              |Albania             |api_football |513          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,911|1       |Super Cup                                           |Algeria             |api_football |516          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,964|1       |League 80                                           |                    |api_football |80           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-03-04 09:36:29.584 +0100|
|20,914|1       |Primera B Metropolitana                             |Argentina           |api_football |131          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,915|1       |Primera Nacional                                    |Argentina           |api_football |129          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,916|1       |Primera C                                           |Argentina           |api_football |132          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,917|1       |Primera D                                           |Argentina           |api_football |133          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,918|1       |Torneo Federal A                                    |Argentina           |api_football |134          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,919|1       |A-League                                            |Australia           |api_football |188          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,920|1       |Brisbane Premier League                             |Australia           |api_football |191          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,921|1       |Northern Territory Premier League                   |Australia           |api_football |193          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,922|1       |Cup                                                 |Austria             |api_football |220          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,927|1       |Regionalliga - Mitte                                |Austria             |api_football |222          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,928|1       |Regionalliga - Ost                                  |Austria             |api_football |221          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,929|1       |Regionalliga - West                                 |Austria             |api_football |223          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,931|1       |Welsh Cup                                           |Wales               |api_football |112          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,932|1       |Primera Divisi?n                                    |Venezuela           |api_football |299          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,933|1       |Segunda Divisi?n                                    |Venezuela           |api_football |300          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,934|1       |Professional League                                 |Oman                |api_football |406          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,935|1       |Premier League                                      |Jamaica             |api_football |322          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,936|1       |League                                              |Jordan              |api_football |387          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,938|1       |Premier League                                      |Kuwait              |api_football |330          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,941|1       |Denmark Series - Group 1                            |Denmark             |api_football |124          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,942|1       |Denmark Series - Group 2                            |Denmark             |api_football |125          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,943|1       |Denmark Series - Group 3                            |Denmark             |api_football |126          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,944|1       |Liga Nacional                                       |Honduras            |api_football |234          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,945|1       |HKFA 1st Division                                   |Hong-Kong           |api_football |381          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,946|1       |Premier League                                      |Hong-Kong           |api_football |380          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,947|1       |Magyar Kupa                                         |Hungary             |api_football |273          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,950|1       |National 2 - Group D                                |France              |api_football |70           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,951|1       |Premier League                                      |Egypt               |api_football |233          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,952|1       |Primera Division                                    |El-Salvador         |api_football |370          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,956|1       |Premier League                                      |Ghana               |api_football |570          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,957|1       |Division d'Honneur                                  |Guadeloupe          |api_football |377          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,958|1       |Liga Nacional                                       |Guatemala           |api_football |339          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,959|1       |Primera Division                                    |Guatemala           |api_football |338          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,960|1       |Cup                                                 |Greece              |api_football |199          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,961|1       |Football League                                     |Greece              |api_football |198          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,965|1       |Super Cup                                           |Germany             |api_football |529          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,966|1       |DFB Pokal                                           |Germany             |api_football |81           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,967|1       |FIFA Club World Cup                                 |World               |api_football |15           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,968|1       |African Nations Championship                        |World               |api_football |19           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,969|1       |UEFA Champions League                               |World               |api_football |2            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,972|1       |Premier League                                      |Barbados            |api_football |422          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,973|1       |Olympics Men                                        |World               |api_football |480          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,976|1       |ASEAN Championship                                  |World               |api_football |24           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,979|1       |Community Shield                                    |England             |api_football |528          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,980|1       |Serie B                                             |Brazil              |api_football |72           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,981|1       |Serie C                                             |Brazil              |api_football |75           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,982|1       |Serie D                                             |Brazil              |api_football |76           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,983|1       |Premier League                                      |Uganda              |api_football |585          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,984|1       |Premi?re Division                                   |Mali                |api_football |598          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,985|1       |Copa America                                        |World               |api_football |9            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,986|1       |Major League Soccer                                 |USA                 |api_football |253          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,987|1       |US Open Cup                                         |USA                 |api_football |257          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,988|1       |Primera Divisi?n - Apertura                         |Uruguay             |api_football |268          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,989|1       |Primera Divisi?n - Clausura                         |Uruguay             |api_football |270          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,990|1       |Super League                                        |Uzbekistan          |api_football |369          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,991|1       |Thai League 1                                       |Thailand            |api_football |296          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,992|1       |Thai League 2                                       |Thailand            |api_football |297          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,993|1       |Super Cup                                           |Turkey              |api_football |551          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,994|1       |1. Deild                                            |Faroe-Islands       |api_football |366          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,995|1       |Meistaradeildin                                     |Faroe-Islands       |api_football |367          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,998|1       |Suomen Cup                                          |Finland             |api_football |246          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,999|1       |Kakkonen - Lohko A                                  |Finland             |api_football |247          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,000|1       |Kakkonen - Lohko B                                  |Finland             |api_football |248          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,001|1       |Kakkonen - Lohko C                                  |Finland             |api_football |249          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,002|1       |Troph?e des Champions                               |France              |api_football |526          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,003|1       |Liga Pro                                            |Ecuador             |api_football |242          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,004|1       |Liga Pro Serie B                                    |Ecuador             |api_football |243          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,005|1       |Super Cup                                           |Egypt               |api_football |539          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,006|1       |CECAFA Senior Challenge Cup                         |World               |api_football |535          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,007|1       |Girabola                                            |Angola              |api_football |397          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,010|1       |Super Cup                                           |Czech-Republic      |api_football |925          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,011|1       |Northern NSW NPL                                    |Australia           |api_football |481          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,014|1       |2. Division                                         |Belarus             |api_football |118          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,015|1       |Super League                                        |Zambia              |api_football |400          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,016|1       |V.League 1                                          |Vietnam             |api_football |340          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,017|1       |Emperor Cup                                         |Japan               |api_football |102          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,018|1       |J-League Cup                                        |Japan               |api_football |101          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,019|1       |J1 League                                           |Japan               |api_football |98           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,020|1       |J2 League                                           |Japan               |api_football |99           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,021|1       |J3 League                                           |Japan               |api_football |100          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,023|1       |FKF Premier League                                  |Kenya               |api_football |276          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,024|1       |DBU Pokalen                                         |Denmark             |api_football |121          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,025|1       |Ligue Ha?tienne                                     |Haiti               |api_football |379          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,026|1       |SAFF Championship                                   |World               |api_football |28           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,027|1       |League Cup                                          |Singapore           |api_football |505          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,028|1       |Division di Honor                                   |Aruba               |api_football |421          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,029|1       |Cup                                                 |Azerbaijan          |api_football |420          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,030|1       |FA Cup                                              |Thailand            |api_football |298          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,031|1       |National Football League                            |Fiji                |api_football |376          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,032|1       |Feminine Division 1                                 |France              |api_football |64           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,033|1       |UEFA Europa League                                  |World               |api_football |3            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,035|1       |Ligue 1                                             |Guinea              |api_football |378          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|21,036|1       |AFC Challenge Cup                                   |World               |api_football |807          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
