|norm_name              |id    |name                   |ext_source      |ext_team_id |matches_used|
|anorthosis             |12,998|Anorthosis             |api_football    |2269        |109         |
|anorthosis             |27,340|Anorthosis             |api_sport       |2269        |1           |
|antalyaspor            |12,631|Antalyaspor            |api_football    |1005        |74          |
|antalyaspor            |26,245|Antalyaspor            |api_sport       |1005        |1           |
|antoniano              |13,747|Antoniano              |api_football    |7522        |2           |
|antoniano              |26,339|Antoniano              |api_sport       |7522        |1           |
|antwerp                |964   |Antwerp                |football_data_uk|Antwerp     |266         |
|antwerp                |13,172|Antwerp                |api_football    |740         |121         |
|apoel nicosia          |12,860|Apoel Nicosia          |api_football    |2247        |108         |
|apoel nicosia          |27,339|Apoel Nicosia          |api_sport       |2247        |1           |
|apollon limassol       |12,898|Apollon Limassol       |api_football    |602         |112         |
|apollon limassol       |27,070|Apollon Limassol       |api_sport       |602         |1           |
|araratarmenia ii       |12,789|Ararat-Armenia II      |api_football    |3689        |52          |
|araratarmenia ii       |26,288|Ararat-Armenia II      |api_sport       |3689        |1           |
|araz                   |13,132|Araz                   |api_football    |11238       |72          |
|araz                   |27,491|Araz                   |api_sport       |11238       |1           |
|arezzo                 |14,061|Arezzo                 |api_football    |876         |83          |
|arezzo                 |25,863|Arezzo                 |api_sport       |876         |1           |
|arges pitesti          |12,347|Arges Pitesti          |api_football    |2592        |97          |
|arges pitesti          |27,259|Arges Pitesti          |api_sport       |2592        |1           |
|aris                   |12,561|Aris                   |api_football    |3408        |108         |
|aris                   |27,073|Aris                   |api_sport       |3408        |1           |
|arka gdynia            |13,208|Arka Gdynia            |api_football    |344         |104         |
|arka gdynia            |25,817|Arka Gdynia            |api_sport       |344         |1           |
|arnavutky belediyespor |14,158|Arnavutk?y Belediyespor|api_football    |15101       |106         |
|arnavutky belediyespor |26,654|Arnavutköy Belediyespor|api_sport       |15101       |1           |
|arosa                  |27,667|Arosa                  |api_sport       |9605        |1           |
|arosa                  |28,499|Arosa                  |api_hockey      |903         |0           |
|arsenal                |11,910|Arsenal                |api_football    |42          |114         |
|arsenal                |13,102|Arsenal                |api_football    |9419        |36          |
|arsenal                |26,871|Arsenal                |api_sport       |9419        |1           |
|arsenal                |1     |Arsenal                |                |            |0           |
|arsenal esk lpa        |14,437|Arsenal ?esk? L?pa     |api_football    |7270        |62          |
|arsenal esk lpa        |26,963|Arsenal Česká Lípa     |api_sport       |7270        |1           |
|arsenal tula           |12,336|Arsenal Tula           |api_football    |1077        |70          |
|arsenal tula           |25,752|Arsenal Tula           |api_sport       |1077        |1           |
|ascoli                 |14,581|Ascoli                 |api_football    |507         |116         |
|ascoli                 |25,866|Ascoli                 |api_sport       |507         |1           |
|asil lysi              |13,477|ASIL Lysi              |api_football    |3405        |58          |
|asil lysi              |26,978|ASIL Lysi              |api_sport       |3405        |1           |
|as jeunesse esch       |13,452|AS Jeunesse Esch       |api_football    |2034        |60          |
|as jeunesse esch       |27,269|AS Jeunesse Esch       |api_sport       |2034        |1           |
|as roma                |538   |AS Roma                |football_data   |100         |329         |
|as roma                |12,128|AS Roma                |api_football    |497         |114         |
|as roma                |27,695|AS Roma                |api_sport       |497         |1           |
|asteras tripolis       |13,448|Asteras Tripolis       |api_football    |955         |98          |
|asteras tripolis       |27,016|Asteras Tripolis       |api_sport       |955         |1           |
|asteras tripolis ii    |12,875|Asteras Tripolis II    |api_football    |25017       |26          |
|asteras tripolis ii    |26,858|Asteras Tripolis II    |api_sport       |25017       |1           |
|aston villa            |11,922|Aston Villa            |api_football    |66          |114         |
|aston villa            |27,927|Aston Villa            |api_sport       |22805       |1           |
|atalanta ii            |13,901|Atalanta II            |api_football    |22104       |88          |
|atalanta ii            |25,872|Atalanta II            |api_sport       |22104       |1           |
|atert bissen           |12,965|Atert Bissen           |api_football    |15847       |1           |
|atert bissen           |27,278|Atert Bissen           |api_sport       |15847       |1           |
|athletic carpi         |14,558|Athletic Carpi         |api_football    |17825       |39          |
|athletic carpi         |26,926|Athletic Carpi         |api_sport       |17825       |1           |
|athletic club          |78    |Athletic Club          |football_data   |77          |336         |
|athletic club          |12,084|Athletic Club          |api_football    |531         |114         |
|athletic club          |25,928|Ath­let­ic Club        |api_sport       |12560       |1           |
|atltic club descaldes  |13,350|Atl?tic Club d'Escaldes|api_football    |3345        |54          |
|atltic club descaldes  |27,772|Atlètic Club d'Escaldes|api_sport       |3345        |1           |
|atltico baleares       |14,375|Atl?tico Baleares      |api_football    |9381        |2           |
|atltico baleares       |26,355|Atlético Baleares      |api_sport       |9381        |1           |
|atltico madrid ii      |16,786|Atl?tico Madrid II     |api_football    |9570        |4           |
|atltico madrid ii      |27,737|Atlético Madrid II     |api_sport       |9570        |1           |
|atltico paso           |26,562|Atlético Paso          |api_sport       |9791        |1           |
|atltico paso           |28,819|Atl?tico Paso          |api_football    |9791        |0           |
|atyrau                 |13,595|Atyrau                 |api_football    |4564        |27          |
|atyrau                 |26,238|Atyrau                 |api_sport       |4564        |1           |
|auda                   |12,910|Auda                   |api_football    |4135        |32          |
|auda                   |27,183|Auda                   |api_sport       |4135        |1           |
|audace cerignola       |13,835|Audace Cerignola       |api_football    |9539        |126         |
|audace cerignola       |25,873|Audace Cerignola       |api_sport       |9539        |1           |
|austria klagenfurt     |13,150|Austria Klagenfurt     |api_football    |1405        |96          |
|austria klagenfurt     |26,163|Austria Klagenfurt     |api_sport       |1405        |1           |
|austria vienna         |12,793|Austria Vienna         |api_football    |601         |101         |
|austria vienna         |27,543|Austria Vienna         |api_sport       |601         |1           |
|auxerre                |12,116|Auxerre                |api_football    |108         |110         |
|auxerre                |1,019 |Auxerre                |football_data_uk|Auxerre     |94          |
|avs                    |591   |AVS                    |football_data   |10340       |90          |
|avs                    |12,159|AVS                    |api_football    |21595       |38          |
|az alkmaar             |1,106 |AZ Alkmaar             |football_data_uk|AZ Alkmaar  |252         |
|az alkmaar             |12,166|AZ Alkmaar             |api_football    |201         |104         |
|az picerno             |13,968|AZ Picerno             |api_football    |1587        |121         |
|az picerno             |27,874|AZ Picerno             |api_sport       |1587        |1           |
|badalona               |27,578|Badalona               |api_sport       |5250        |1           |
|badalona               |28,784|Badalona               |api_football    |5250        |0           |
|balkesirspor           |15,215|Bal?kesirspor          |api_football    |3568        |38          |
|balkesirspor           |26,665|Balıkesirspor          |api_sport       |3568        |1           |
|ballkani               |13,084|Ballkani               |api_football    |12733       |72          |
|ballkani               |25,699|Ballkani               |api_sport       |12733       |1           |
|banants ii             |13,254|Banants II             |api_football    |3690        |52          |
|banants ii             |25,756|Banants II             |api_sport       |3690        |1           |
|banga                  |13,646|Banga                  |api_football    |3858        |33          |
|banga                  |26,628|Banga                  |api_sport       |3858        |1           |
|bank ostrava           |12,730|Ban?k Ostrava          |api_football    |3713        |70          |
|bank ostrava           |26,522|Baník Ostrava          |api_sport       |3713        |1           |
|bank sokolov           |16,884|Ban?k Sokolov          |api_football    |3721        |30          |
|bank sokolov           |26,161|Baník Sokolov          |api_sport       |3721        |1           |
|barakaldo              |27,753|Barakaldo              |api_sport       |5251        |1           |
|barakaldo              |28,785|Barakaldo              |api_football    |5251        |0           |
|barbastro              |14,590|Barbastro              |api_football    |9879        |2           |
|barbastro              |26,359|Barbastro              |api_sport       |9879        |1           |
|bari                   |13,216|Bari                   |api_football    |508         |120         |
|bari                   |27,804|Bari                   |api_sport       |508         |1           |
|barnsley               |12,890|Barnsley               |api_football    |747         |143         |
|barnsley               |1,006 |Barnsley               |football_data_uk|Barnsley    |138         |
|bashkimi kumanovo      |13,240|Bashkimi Kumanovo      |api_football    |22153       |61          |
|bashkimi kumanovo      |26,780|Bashkimi Kumanovo      |api_sport       |22153       |1           |
|beasain                |16,796|Beasain                |api_football    |9657        |2           |
|beasain                |27,565|Beasain                |api_sport       |9657        |1           |
|beerschot va           |980   |Beerschot VA           |football_data_uk|Beerschot VA|104         |
|beerschot va           |12,515|Beerschot VA           |api_football    |263         |98          |
|beitar jerusalem       |14,252|Beitar Jerusalem       |api_football    |657         |69          |
|beitar jerusalem       |27,794|Beitar Jerusalem       |api_sport       |657         |1           |
|bekescsaba 1912        |12,476|Bekescsaba 1912        |api_football    |2406        |68          |
|bekescsaba 1912        |26,691|Bekescsaba 1912        |api_sport       |2406        |1           |
|belediye derincespor   |14,329|Belediye Derincespor   |api_football    |6511        |70          |
|belediye derincespor      |26,653|Belediye Derincespor      |api_sport       |6511         |1           |
|belenenses                |1,139 |Belenenses                |football_data_uk|Belenenses   |136         |
|belenenses                |16,933|Belenenses                |api_football    |221          |36          |
|benevento                 |13,785|Benevento                 |api_football    |506          |123         |
|benevento                 |1,091 |Benevento                 |football_data_uk|Benevento    |38          |
|benevento                 |27,663|Benevento                 |api_sport       |506          |1           |
|benfica                   |12,141|Benfica                   |api_football    |211          |102         |
|benfica                   |27,769|Benfica                   |api_sport       |211          |1           |
|benfica b                 |14,450|Benfica B                 |api_football    |229          |68          |
|benfica b                 |25,822|Benfica B                 |api_sport       |229          |1           |
|berane                    |28,654|Berane                    |api_football    |3743         |36          |
|berane                    |26,818|Berane                    |api_sport       |3743         |1           |
|bergantios                |27,561|Bergantiños               |api_sport       |9383         |1           |
|bergantios                |28,801|Berganti?os               |api_football    |9383         |0           |
|beroe                     |13,233|Beroe                     |api_football    |857          |107         |
|beroe                     |26,295|Beroe                     |api_sport       |857          |1           |
|beyolu yeni ar            |14,689|Beyo?lu Yeni ?ar??        |api_football    |7406         |70          |
|beyolu yeni ar            |26,205|Beyoğlu Yeni Çarşı        |api_sport       |7406         |1           |
|birkirkara                |12,611|Birkirkara                |api_football    |2277         |60          |
|birkirkara                |26,833|Birkirkara                |api_sport       |2277         |1           |
|bk hacken                 |13,610|BK Hacken                 |api_football    |367          |34          |
|bk hacken                 |25,831|BK Hacken                 |api_sport       |367          |1           |
|bkma                      |13,431|BKMA                      |api_football    |6279         |66          |
|bkma                      |26,866|BKMA                      |api_sport       |6279         |1           |
|bkma ii                   |12,852|BKMA II                   |api_football    |17171        |52          |
|bkma ii                   |25,718|BKMA II                   |api_sport       |17171        |1           |
|blackpool                 |13,685|Blackpool                 |api_football    |1356         |138         |
|blackpool                 |1,003 |Blackpool                 |football_data_uk|Blackpool    |92          |
|blansko                   |14,607|Blansko                   |api_football    |7276         |102         |
|blansko                   |26,949|Blansko                   |api_sport       |7276         |1           |
|boavista                  |1,132 |Boavista                  |football_data_uk|Boavista     |238         |
|boavista                  |12,145|Boavista                  |api_football    |222          |102         |
|bochum                    |1,055 |Bochum                    |football_data_uk|Bochum       |136         |
|bochum                    |14,347|Bochum                    |api_football    |20473        |26          |
|bodrum fk                 |12,906|Bodrum FK                 |api_football    |3583         |114         |
|bodrum fk                 |27,700|Bodrum FK                 |api_sport       |3583         |1           |
|bohemians 1905 ii         |14,224|Bohemians 1905 II         |api_football    |14473        |61          |
|bohemians 1905 ii         |26,154|Bohemians 1905 II         |api_sport       |14473        |1           |
|bologna                   |12,130|Bologna                   |api_football    |500          |114         |
|bologna                   |26,992|Bologna                   |api_sport       |500          |1           |
|bolton                    |12,960|Bolton                    |api_football    |68           |143         |
|bolton                    |1,009 |Bolton                    |football_data_uk|Bolton       |46          |
|boluspor                  |12,987|Boluspor                  |api_football    |3569         |112         |
|boluspor                  |26,698|Boluspor                  |api_sport       |3569         |1           |
|bordeaux                  |1,031 |Bordeaux                  |football_data_uk|Bordeaux     |142         |
|bordeaux                  |16,875|Bordeaux                  |api_football    |78           |76          |
|borussia dortmund         |69    |Borussia Dortmund         |football_data   |4            |304         |
|borussia dortmund         |12,069|Borussia Dortmund         |api_football    |165          |102         |
|borussia mnchengladbach   |530   |Borussia Mönchengladbach  |football_data   |18           |294         |
|borussia mnchengladbach   |12,067|Borussia M?nchengladbach  |api_football    |163          |102         |
|borussia monchengladbach w|14,702|Borussia Monchengladbach W|api_football    |1864         |52          |
|borussia monchengladbach w|26,793|Borussia Monchengladbach W|api_sport       |1864         |1           |
|botev plovdiv             |12,853|Botev Plovdiv             |api_football    |634          |108         |
|botev plovdiv             |26,893|Botev Plovdiv             |api_sport       |634          |1           |
|bournemouth               |11,905|Bournemouth               |api_football    |35           |114         |
|bournemouth               |948   |Bournemouth               |football_data_uk|Bournemouth  |0           |
|brann                     |13,096|Brann                     |api_football    |319          |34          |
|brann                     |26,797|Brann                     |api_sport       |319          |1           |
|bravo                     |13,051|Bravo                     |api_football    |4359         |108         |
|bravo                     |25,797|Bravo                     |api_sport       |4359         |1           |
|brentford                 |11,919|Brentford                 |api_football    |55           |114         |
|brentford                 |25,875|Brentford                 |api_sport       |55           |1           |
|brescia                   |12,630|Brescia                   |api_football    |518          |117         |
|brescia                   |1,092 |Brescia                   |football_data_uk|Brescia      |38          |
|brest                     |1,016 |Brest                     |football_data_uk|Brest        |232         |
|brest                     |28,532|Brest                     |api_hockey      |3            |0           |
|brighton                  |11,917|Brighton                  |api_football    |51           |114         |
|brighton                  |950   |Brighton                  |football_data_uk|Brighton     |0           |
|brinjegrosuplje           |13,458|Brinje-Grosuplje          |api_football    |12744        |90          |
|brinjegrosuplje           |26,527|Brinje-Grosuplje          |api_sport       |12744        |1           |
|bryne                     |13,178|Bryne                     |api_football    |2142         |35          |
|bryne                     |27,408|Bryne                     |api_sport       |2142         |1           |
|bsc young boys            |13,021|BSC Young Boys            |api_football    |565          |76          |
|bsc young boys            |27,522|BSC Young Boys            |api_sport       |565          |1           |
|budafoki lc               |12,479|Budafoki LC               |api_football    |2399         |102         |
|budafoki lc               |26,690|Budafoki LC               |api_sport       |2399         |1           |
|budapest honved           |13,577|Budapest Honved           |api_football    |576          |97          |
|budapest honved           |25,844|Budapest Honved           |api_sport       |576          |1           |
|bulawayo chiefs           |26,815|Bulawayo Chiefs           |api_sport       |5217         |1           |
|bulawayo chiefs           |28,725|Bulawayo Chiefs           |api_football    |5217         |0           |
|bursaspor                 |15,320|Bursaspor                 |api_football    |1003         |72          |
|bursaspor                 |26,253|Bursaspor                 |api_sport       |1003         |1           |
|bvsc                      |13,229|BVSC                      |api_football    |5071         |66          |
|bvsc                      |26,692|BVSC                      |api_sport       |5071         |1           |
|bylis                     |13,310|Bylis                     |api_football    |3325         |69          |
|bylis                     |27,068|Bylis                     |api_sport       |3325         |1           |
|cacereo                   |14,514|Cacere?o                  |api_football    |9384         |8           |
|cacereo                   |27,870|Cacereño                  |api_sport       |9384         |1           |
|cadiz                     |1,159 |Cadiz                     |football_data_uk|Cadiz        |152         |
|cadiz                     |13,513|Cadiz                     |api_football    |724          |118         |
|caen                      |12,471|Caen                      |api_football    |88           |110         |
|caen                      |1,036 |Caen                      |football_data_uk|Caen         |38          |
|caernarfon town           |13,413|Caernarfon Town           |api_football    |356          |101         |
|caernarfon town           |26,981|Caernarfon Town           |api_sport       |356          |1           |
|cagliari                  |1,073 |Cagliari                  |football_data_uk|Cagliari     |253         |
|cagliari                  |12,123|Cagliari                  |api_football    |490          |119         |
|cailungo                  |12,562|Cailungo                  |api_football    |5297         |60          |
|cailungo                  |27,089|Cailungo                  |api_sport       |5297         |1           |
|cambuur                   |12,180|Cambuur                   |api_football    |420          |112         |
|cambuur                   |1,114 |Cambuur                   |football_data_uk|Cambuur      |68          |
|cambuur                   |27,530|Cambuur                   |api_sport       |420          |1           |
|campobasso fc             |14,203|Campobasso FC             |api_football    |9510         |39          |
|campobasso fc             |25,862|Campobasso FC             |api_sport       |9510         |1           |
|caps united               |26,810|CAPS United               |api_sport       |5218         |1           |
|caps united               |28,726|CAPS United               |api_football    |5218         |0           |
|carrarese                 |12,319|Carrarese                 |api_football    |1581         |124         |
|carrarese                 |27,644|Carrarese                 |api_sport       |1581         |1           |
|carroi                    |13,361|Carroi                    |api_football    |3346         |49          |
|carroi                    |27,280|Carroi                    |api_sport       |3346         |1           |
|casertana                 |14,499|Casertana                 |api_football    |885          |81          |
|casertana                 |25,871|Casertana                 |api_sport       |885          |1           |
|catania                   |14,341|Catania                   |api_football    |1580         |86          |
|catania                   |25,870|Catania                   |api_sport       |1580         |1           |
|catanzaro                 |12,285|Catanzaro                 |api_football    |1687         |123         |
|catanzaro                 |27,096|Catanzaro                 |api_sport       |1687         |1           |
|cavese                    |14,393|Cavese                    |api_football    |1712         |39          |
|cavese                    |27,873|Cavese                    |api_sport       |1712         |1           |
|cd coria                  |16,987|CD Coria                  |api_football    |9827         |2           |
|cd coria                  |26,247|CD Coria                  |api_sport       |9827         |1           |
|celtic                    |13,635|Celtic                    |api_football    |247          |114         |
|celtic                    |26,869|Celtic                    |api_sport       |247          |1           |
|cercle brugge             |967   |Cercle Brugge             |football_data_uk|Cercle Brugge|262         |
|cercle brugge             |12,844|Cercle Brugge             |api_football    |741          |118         |
|cercle brugge             |27,792|Cercle Brugge             |api_sport       |741          |1           |
|cf os belenenses          |14,592|CF Os Belenenses          |api_football    |17692        |63          |
|cf os belenenses          |27,912|CF Os Belenenses          |api_sport       |17692        |1           |
|cfr 1907 cluj             |13,044|CFR 1907 Cluj             |api_football    |2246         |121         |
|cfr 1907 cluj             |25,818|CFR 1907 Cluj             |api_sport       |2246         |1           |
|charleroi                 |975   |Charleroi                 |football_data_uk|Charleroi    |262         |
|charleroi                 |13,032|Charleroi                 |api_football    |736          |111         |
|chaves                    |1,136 |Chaves                    |football_data_uk|Chaves       |102         |
|chaves                    |13,956|Chaves                    |api_football    |223          |102         |
|chelsea                   |11,915|Chelsea                   |api_football    |49           |114         |
|chelsea                   |2     |Chelsea                   |                |             |0           |
|chernomorets balchik      |28,602|Chernomorets Balchik      |api_football    |1422         |34          |
|chernomorets balchik      |26,841|Chernomorets Balchik      |api_sport       |1422         |1           |
|chiclana                  |26,401|Chiclana                  |api_sport       |21905        |1           |
|chiclana                  |28,768|Chiclana                  |api_football    |21905        |0           |
|chindia targoviste        |13,422|Chindia Targoviste        |api_football    |2586         |93          |
|chindia targoviste        |25,765|Chindia Targoviste        |api_sport       |2586         |1           |
|chlumec nad cidlinou      |13,908|Chlumec nad Cidlinou      |api_football    |7281         |92          |
|chlumec nad cidlinou      |26,158|Chlumec nad Cidlinou      |api_sport       |7281         |1           |
|chojniczanka chojnice     |14,657|Chojniczanka Chojnice     |api_football    |3482         |105         |
|chojniczanka chojnice     |26,305|Chojniczanka Chojnice     |api_sport       |3482         |1           |
|ciudad de lucena          |27,721|Ciudad de Lucena          |api_sport       |9756         |1           |
|ciudad de lucena          |28,816|Ciudad de Lucena          |api_football    |9756         |0           |
|club brugge kv            |12,803|Club Brugge KV            |api_football    |569          |120         |
|club brugge kv            |96    |Club Brugge KV            |football_data   |851          |10          |
|club brugge kv            |26,632|Club Brugge KV            |api_sport       |569          |1           |
|como                      |12,139|Como                      |api_football    |895          |114         |
|como                      |1,075 |Como                      |football_data_uk|Como         |62          |
|compostela                |16,806|Compostela                |api_football    |5256         |2           |
|compostela                |27,505|Compostela                |api_sport       |5256         |1           |
|concordia                 |13,304|Concordia                 |api_football    |2580         |77          |
|concordia                 |28,545|Concordia                 |api_hockey      |94           |0           |
|conquense                 |26,341|Conquense                 |api_sport       |5257         |1           |
|conquense                 |28,786|Conquense                 |api_football    |5257         |0           |
|cordoba                   |12,934|Cordoba                   |api_football    |713          |42          |
|cordoba                   |27,750|Cordoba                   |api_sport       |713          |1           |
|corvinul hunedoara        |12,710|Corvinul Hunedoara        |api_football    |20034        |56          |
|corvinul hunedoara        |26,201|Corvinul Hunedoara        |api_sport       |20034        |1           |
|cosenza                   |12,229|Cosenza                   |api_football    |10137        |116         |
|cosenza                   |26,928|Cosenza                   |api_sport       |10137        |1           |
|cracovia krakow           |12,363|Cracovia Krakow           |api_football    |350          |102         |
|cracovia krakow           |27,866|Cracovia Krakow           |api_sport       |350          |1           |
|cremonese                 |13,414|Cremonese                 |api_football    |520          |122         |
|cremonese                 |26,491|Cremonese                 |api_sport       |520          |1           |
|crotone                   |14,302|Crotone                   |api_football    |501          |127         |
|crotone                   |1,090 |Crotone                   |football_data_uk|Crotone      |38          |
|crotone                   |26,935|Crotone                   |api_sport       |501          |1           |
|csakvar                   |13,681|Csakvar                   |api_football    |2409         |102         |
|csakvar                   |27,005|Csakvar                   |api_sport       |2409         |1           |
|csf bli                   |13,581|CSF B?l?i                 |api_football    |14008        |48          |
|csf bli                   |27,616|CSF Bălți                 |api_sport       |14008        |1           |
|cska 1948                 |13,447|CSKA 1948                 |api_football    |1426         |109         |
|cska 1948                 |26,892|CSKA 1948                 |api_sport       |1426         |1           |
|cska moscow               |12,990|CSKA Moscow               |api_football    |555          |60          |
|cska moscow               |27,656|CSKA Moscow               |api_sport       |555          |1           |
|cska sofia                |12,228|CSKA Sofia                |api_football    |853          |108         |
|cska sofia                |27,532|CSKA Sofia                |api_sport       |853          |1           |
|cska sofia ii             |13,000|CSKA Sofia II             |api_football    |1415         |38          |
|cska sofia ii             |25,732|CSKA Sofia II             |api_sport       |1415         |1           |
|csm reia                  |12,695|CSM Re?i?a                |api_football    |6229         |56          |
|csm reia                  |26,200|CSM Reşiţa                |api_sport       |6229         |1           |
|cultural leonesa          |25,857|Cultural Leonesa          |api_sport       |725          |1           |
|cultural leonesa          |28,799|Cultural Leonesa          |api_football    |725          |0           |
|daciabuiucani             |12,688|Dacia-Buiucani            |api_football    |5375         |48          |
|daciabuiucani             |26,805|Dacia-Buiucani            |api_sport       |5375         |1           |
|debreceni vsc             |12,435|Debreceni VSC             |api_football    |2392         |99          |
|debreceni vsc             |27,691|Debreceni VSC             |api_sport       |2392         |1           |
|degerfors if              |13,441|Degerfors IF              |api_football    |2172         |33          |
|degerfors if              |27,188|Degerfors IF              |api_sport       |2172         |1           |
|de graafschap             |12,165|De Graafschap             |api_football    |199          |118         |
|de graafschap             |26,480|De Graafschap             |api_sport       |199          |1           |
|dekani                    |12,953|Dekani                    |api_football    |4370         |90          |
|dekani                    |27,003|Dekani                    |api_sport       |4370         |1           |
|den bosch                 |12,181|Den Bosch                 |api_football    |421          |118         |
|den bosch                 |26,901|Den Bosch                 |api_sport       |421          |1           |
|dender                    |12,665|Dender                    |api_football    |6215         |102         |
|dender                    |966   |Dender                    |football_data_uk|Dender       |65          |
|deportiva minera          |26,334|Deportiva Minera          |api_sport       |9811         |1           |
